Year,Country,Goals
1994.0,Sweden,15.0
1994.0,Brazil,11.0
1994.0,Bulgaria,10.0
1994.0,Romania,10.0
1994.0,Spain,10.0
1994.0,Germany,9.0
1994.0,Argentina,8.0
1994.0,Italy,8.0
1994.0,Netherlands,8.0
1994.0,Nigeria,7.0
1994.0,Russia,7.0
1994.0,Saudi Arabia,5.0
1994.0,Switzerland,5.0
1994.0,Belgium,4.0
1994.0,Colombia,4.0
1994.0,Mexico,4.0
1994.0,South Korea,4.0
1994.0,Cameroon,3.0
1994.0,USA,3.0
1994.0,Morocco,2.0
1994.0,Republic of Ireland,2.0
1994.0,Bolivia,1.0
1994.0,Norway,1.0
1994.0,Greece,0.0
1998.0,France,15.0
1998.0,Brazil,14.0
1998.0,Netherlands,13.0
1998.0,Croatia,11.0
1998.0,Argentina,10.0
1998.0,Denmark,9.0
1998.0,Germany,8.0
1998.0,Italy,8.0
1998.0,Mexico,8.0
1998.0,Spain,8.0
1998.0,England,7.0
1998.0,Nigeria,6.0
1998.0,Chile,5.0
1998.0,Morocco,5.0
1998.0,Norway,5.0
1998.0,Yugoslavia,5.0
1998.0,Romania,4.0
1998.0,Austria,3.0
1998.0,Belgium,3.0
1998.0,Jamaica,3.0
1998.0,Paraguay,3.0
1998.0,South Africa,3.0
1998.0,Cameroon,2.0
1998.0,Iran,2.0
1998.0,Saudi Arabia,2.0
1998.0,Scotland,2.0
1998.0,South Korea,2.0
1998.0,Bulgaria,1.0
1998.0,Colombia,1.0
1998.0,Japan,1.0
1998.0,Tunisia,1.0
1998.0,USA,1.0
2002.0,Brazil,18.0
2002.0,Germany,14.0
2002.0,Spain,10.0
2002.0,Turkey,10.0
2002.0,South Korea,8.0
2002.0,Senegal,7.0
2002.0,USA,7.0
2002.0,Belgium,6.0
2002.0,England,6.0
2002.0,Paraguay,6.0
2002.0,Portugal,6.0
2002.0,Republic of Ireland,6.0
2002.0,Costa Rica,5.0
2002.0,Denmark,5.0
2002.0,Italy,5.0
2002.0,Japan,5.0
2002.0,South Africa,5.0
2002.0,Sweden,5.0
2002.0,Mexico,4.0
2002.0,Russia,4.0
2002.0,Uruguay,4.0
2002.0,Poland,3.0
2002.0,Argentina,2.0
2002.0,Cameroon,2.0
2002.0,Croatia,2.0
2002.0,Ecuador,2.0
2002.0,Slovenia,2.0
2002.0,Nigeria,1.0
2002.0,Tunisia,1.0
2002.0,China PR,0.0
2002.0,France,0.0
2002.0,Saudi Arabia,0.0
2006.0,Germany,14.0
2006.0,Italy,12.0
2006.0,Argentina,11.0
2006.0,Brazil,10.0
2006.0,France,9.0
2006.0,Spain,9.0
2006.0,Portugal,7.0
2006.0,England,6.0
2006.0,Australia,5.0
2006.0,Ecuador,5.0
2006.0,Ivory Coast,5.0
2006.0,Mexico,5.0
2006.0,Ukraine,5.0
2006.0,Ghana,4.0
2006.0,Switzerland,4.0
2006.0,Costa Rica,3.0
2006.0,Czech Republic,3.0
2006.0,Netherlands,3.0
2006.0,South Korea,3.0
2006.0,Sweden,3.0
2006.0,Tunisia,3.0
2006.0,Croatia,2.0
2006.0,Iran,2.0
2006.0,Japan,2.0
2006.0,Paraguay,2.0
2006.0,Poland,2.0
2006.0,Saudi Arabia,2.0
2006.0,Serbia and Montenegro,2.0
2006.0,USA,2.0
2006.0,Angola,1.0
2006.0,Togo,1.0
2006.0,Trinidad and Tobago,0.0
2010.0,Germany,16.0
2010.0,Netherlands,12.0
2010.0,Uruguay,11.0
2010.0,Argentina,10.0
2010.0,Brazil,9.0
2010.0,Spain,8.0
2010.0,Portugal,7.0
2010.0,South Korea,6.0
2010.0,Ghana,5.0
2010.0,Slovakia,5.0
2010.0,USA,5.0
2010.0,Italy,4.0
2010.0,Ivory Coast,4.0
2010.0,Japan,4.0
2010.0,Mexico,4.0
2010.0,Australia,3.0
2010.0,Chile,3.0
2010.0,Denmark,3.0
2010.0,England,3.0
2010.0,Nigeria,3.0
2010.0,Paraguay,3.0
2010.0,Slovenia,3.0
2010.0,South Africa,3.0
2010.0,Cameroon,2.0
2010.0,Greece,2.0
2010.0,New Zealand,2.0
2010.0,Serbia,2.0
2010.0,France,1.0
2010.0,Korea DPR,1.0
2010.0,Switzerland,1.0
2010.0,Algeria,0.0
2010.0,Honduras,0.0
2014.0,Germany,18.0
2014.0,Netherlands,15.0
2014.0,Colombia,12.0
2014.0,Brazil,11.0
2014.0,France,10.0
2014.0,Argentina,8.0
2014.0,Algeria,7.0
2014.0,Switzerland,7.0
2014.0,Belgium,6.0
2014.0,Chile,6.0
2014.0,Croatia,6.0
2014.0,Costa Rica,5.0
2014.0,Mexico,5.0
2014.0,USA,5.0
2014.0,Bosnia and Herzegovina,4.0
2014.0,Ghana,4.0
2014.0,Ivory Coast,4.0
2014.0,Portugal,4.0
2014.0,Spain,4.0
2014.0,Uruguay,4.0
2014.0,Australia,3.0
2014.0,Ecuador,3.0
2014.0,Greece,3.0
2014.0,Nigeria,3.0
2014.0,South Korea,3.0
2014.0,England,2.0
2014.0,Italy,2.0
2014.0,Japan,2.0
2014.0,Russia,2.0
2014.0,Cameroon,1.0
2014.0,Honduras,1.0
2014.0,Iran,1.0
2018.0,Belgium,16.0
2018.0,Croatia,16.0
2018.0,England,12.0
2018.0,France,12.0
2018.0,Russia,11.0
2018.0,Brazil,8.0
2018.0,Spain,7.0
2018.0,Uruguay,7.0
2018.0,Argentina,6.0
2018.0,Colombia,6.0
2018.0,Japan,6.0
2018.0,Portugal,6.0
2018.0,Sweden,6.0
2018.0,Switzerland,5.0
2018.0,Tunisia,5.0
2018.0,Senegal,4.0
2018.0,Denmark,3.0
2018.0,Mexico,3.0
2018.0,Nigeria,3.0
2018.0,South Korea,3.0
2018.0,Australia,2.0
2018.0,Costa Rica,2.0
2018.0,Egypt,2.0
2018.0,Germany,2.0
2018.0,Iceland,2.0
2018.0,Iran,2.0
2018.0,Morocco,2.0
2018.0,Panama,2.0
2018.0,Peru,2.0
2018.0,Poland,2.0
2018.0,Saudi Arabia,2.0
2018.0,Serbia,2.0
